kernel,C,gamma,epsilon,degree,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
poly,"1,0",scale,5,3,158.60958097120945,"644,3805485119117","606,4276906933816","158,60958097120945","629,1972455407368","606,4276906933816","158,60958097120945","153,1102658691405","160,06445012167944","158,38578981976946","155,16895893583052","162,9087656997088","161,30566959664046","159,32316675569695"
poly,"1,0",auto,5,3,158.60958097120948,"644,3805485119124","606,4276906933821","158,60958097120948","629,1972455407374","606,4276906933823","158,60958097120948","153,11026586914056","160,06445012167947","158,3857898197695","155,16895893583052","162,90876569970885","161,30566959664048","159,323166755697"
poly,"100,0",0.01,5,3,164.15122357454777,"1017,4523858558402","969,9411030592356","164,15122357454777","995,3422512185209","969,9411030592356","164,1512235745478","163,0254960911904","161,01306990390168","162,82058409456147","161,56597643868852","167,57459486589875","164,86690978024558","168,19193384734817"
poly,"100,0",0.01,50,3,164.17970719777162,"987,2886275865621","938,0833258379016","164,17970719777162","964,5314523708075","938,0833258379016","164,17970719777162","163,09484604697434","161,35261715129252","162,46556177634028","161,15279484981474","167,8977266653854","165,1618592096582","168,13254468493568"
poly,"100,0",0.01,1,3,164.24377390216677,"1019,3415874802706","972,1475859019353","164,24377390216677","997,5021553318378","972,1475859019353","164,2437739021668","163,18421252399855","161,0870611605937","162,82861279038224","161,58013079783115","167,7130242892126","165,0470132878624","168,26636246528682"
poly,"100,0",0.01,25,3,164.3895367044875,"1004,5636618095834","956,4340731217425","164,3895367044875","982,0840138651523","956,4340731217425","164,3895367044875","163,16115624229593","161,32042390792964","162,96931650224815","161,8097806096329","168,0352581308497","165,16143598462833","168,26938555382793"
poly,"10,0",scale,50,3,166.1501338019133,"1212,778295304757","1133,87766684805","166,1501338019133","1177,1289600777968","1133,87766684805","166,15013380191334","165,5338611320185","162,19353059352827","165,3039853257293","162,4719912807612","169,1423405769114","166,76030955278588","171,64491815165866"
poly,"10,0",auto,50,3,166.15013380191346,"1212,7782953047663","1133,8776668480587","166,15013380191346","1177,128960077806","1133,8776668480587","166,15013380191346","165,53386113201887","162,19353059352838","165,30398532572923","162,47199128076136","169,1423405769118","166,76030955278614","171,6449181516585"
poly,"10,0",scale,25,3,166.45431898770028,"1239,6996839106448","1161,59731079232","166,45431898770028","1204,4534494181921","1161,5973107923203","166,45431898770025","166,01483668500424","162,53080769230505","165,7535208307649","162,7002149075443","169,02684695532304","166,93060460109342","172,22340124186684"
poly,"10,0",auto,25,3,166.45431898770045,"1239,6996839106323","1161,5973107923087","166,45431898770045","1204,45344941818","1161,5973107923085","166,45431898770045","166,01483668500444","162,53080769230536","165,75352083076487","162,70021490754448","169,0268469553232","166,9306046010936","172,22340124186707"
poly,"10,0",auto,5,3,166.6088172773616,"1305,6828581598488","1221,7152878309116","166,6088172773616","1266,8054197506897","1221,7152878309116","166,6088172773616","166,26667941838753","162,6748316186642","165,72836046743618","162,89347812063025","169,30423700826788","167,1795305814571","172,2146037266882"
poly,"10,0",scale,5,3,166.60881727736177,"1305,682858159847","1221,7152878309141","166,60881727736177","1266,8054197506895","1221,715287830914","166,60881727736174","166,26667941838784","162,67483161866437","165,72836046743618","162,89347812063056","169,30423700826796","167,17953058145702","172,2146037266884"
poly,"10,0",scale,1,3,166.63758003303758,"1313,4394792238668","1227,9664597840886","166,63758003303758","1274,1006205291092","1227,9664597840888","166,6375800330376","166,23928882964344","162,68409802058125","165,80531469720026","162,93264140775577","169,27212984174645","167,14286071659598","172,38672671774003"
poly,"10,0",auto,1,3,166.63758003303772,"1313,4394792238472","1227,9664597840765","166,63758003303772","1274,1006205290926","1227,9664597840765","166,63758003303772","166,23928882964333","162,6840980205815","165,80531469720034","162,93264140775602","169,2721298417464","167,1428607165962","172,38672671774026"
poly,"100,0",scale,1,3,failed,,,,,,,,,,,,,
poly,"100,0",scale,5,3,failed,,,,,,,,,,,,,
poly,"100,0",scale,25,2,failed,,,,,,,,,,,,,
poly,"100,0",scale,25,3,failed,,,,,,,,,,,,,
poly,"100,0",scale,50,3,failed,,,,,,,,,,,,,
poly,"100,0",auto,1,3,failed,,,,,,,,,,,,,
poly,"100,0",auto,5,3,failed,,,,,,,,,,,,,
poly,"100,0",auto,25,2,failed,,,,,,,,,,,,,
poly,"100,0",auto,25,3,failed,,,,,,,,,,,,,
poly,"100,0",auto,50,3,failed,,,,,,,,,,,,,
