kernel,C,gamma,epsilon,degree,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
poly,"0,1",scale,"0,01",2,"49,56601225065065","265,56108823798576","208,2738818839416","49,56601225065065","253,05712680952766","208,2738818839416","49,56601225065065","48,21591823580447","43,66040293089439","43,9289814656548","39,55893811545313","34,76001106663852","55,34867848668342","81,48915545342581"
poly,"0,1",auto,"0,01",2,"49,56601225065065","265,5610882379858","208,2738818839416","49,56601225065065","253,0571268095277","208,27388188394164","49,56601225065065","48,21591823580448","43,66040293089439","43,92898146565479","39,55893811545313","34,76001106663851","55,348678486683426","81,48915545342581"
poly,"0,1",scale,"0,1",2,"49,5684990537111","265,59805040652293","208,3058615016662","49,5684990537111","253,08806632405756","208,3058615016662","49,56849905371111","48,2210510149053","43,66360887424634","43,927706703676634","39,560225640890096","34,75893295385069","55,3524401580416","81,49552803036707"
poly,"0,1",auto,"0,1",2,"49,56849905371111","265,59805040652293","208,30586150166621","49,56849905371111","253,08806632405756","208,30586150166621","49,56849905371111","48,22105101490531","43,66360887424634","43,927706703676634","39,560225640890096","34,75893295385069","55,35244015804162","81,49552803036707"
poly,"0,1",scale,"0,5",2,"49,56940148404817","265,6506429606263","208,3463358855156","49,56940148404817","253,1279880588691","208,3463358855156","49,56940148404818","48,22643860869128","43,66772207126074","43,918195254315606","39,56168226934762","34,750857384644384","55,35630558996294","81,50460921011467"
poly,"0,1",auto,"0,5",2,"49,56940148404818","265,6506429606264","208,3463358855156","49,56940148404818","253,12798805886914","208,3463358855156","49,56940148404818","48,22643860869128","43,66772207126075","43,91819525431561","39,561682269347614","34,750857384644384","55,35630558996294","81,50460921011467"
poly,"1,0",auto,"0,01",2,"67,26219425321469","303,8665456324155","250,87029314911126","67,26219425321469","290,971286428147","250,8702931491113","67,26219425321469","70,51280798125437","62,260259735728326","70,18024356090322","60,010437789259726","52,32989792137045","69,38546924700492","86,15624353698179"
poly,"1,0",scale,"0,01",2,"67,26219425321474","303,86654563241564","250,87029314911143","67,26219425321474","290,9712864281471","250,8702931491114","67,26219425321474","70,51280798125443","62,26025973572842","70,18024356090334","60,010437789259804","52,32989792137052","69,38546924700495","86,1562435369818"
poly,"1,0",scale,"0,1",2,"67,26646395547121","303,8714579721536","250,87618032912624","67,26646395547121","290,97366079686236","250,87618032912627","67,26646395547121","70,52263791837498","62,268616536228464","70,18716265009778","60,0178637854779","52,33333144357614","69,3839713732614","86,15166398128181"
poly,"1,0",auto,"0,1",2,"67,26646395547125","303,87145797215373","250,87618032912633","67,26646395547125","290,9736607968624","250,87618032912633","67,26646395547125","70,522637918375","62,26861653622851","70,1871626500978","60,01786378547794","52,33333144357619","69,38397137326145","86,15166398128181"
poly,"1,0",auto,"0,5",2,"67,28230221881277","303,916204785191","250,9193671808292","67,28230221881277","291,00990862343326","250,9193671808292","67,28230221881277","70,5442453146935","62,287861467547685","70,20020697428973","60,03753129720105","52,34630344583869","69,4045034852978","86,15546354682103"
poly,"1,0",scale,"0,5",2,"67,28230221881284","303,91620478519116","250,91936718082934","67,28230221881284","291,0099086234335","250,91936718082934","67,28230221881286","70,54424531469357","62,28786146754776","70,20020697428981","60,03753129720114","52,346303445838764","69,40450348529785","86,15546354682104"
poly,"10,0",scale,"0,5",2,"109,0204990615789","499,286912459797","409,5948009120915","109,0204990615789","475,79370346965527","409,59480091209156","109,0204990615789","126,08692817097085","101,97573580896902","111,2541331513668","100,4705788841357","86,64601835351542","106,54072697574303","130,16937208635147"
poly,"10,0",auto,"0,5",2,"109,0204990615789","499,28691245979684","409,5948009120913","109,0204990615789","475,79370346965516","409,5948009120912","109,02049906157892","126,08692817097041","101,97573580896858","111,2541331513668","100,47057888413602","86,64601835351564","106,54072697574347","130,16937208635147"
poly,"10,0",scale,"0,1",2,"109,14032401452991","499,6168102754387","409,9062898997377","109,14032401452991","476,1004613733975","409,9062898997377","109,14032401452992","126,21450691437418","102,08285752204851","111,37464929533057","100,62700097610494","86,80925764238475","106,613968097232","130,26002765423442"
poly,"10,0",auto,"0,1",2,"109,14032401453028","499,61681027544046","409,90628989973897","109,14032401453028","476,1004613733989","409,906289899739","109,14032401453028","126,21450691437491","102,08285752204878","111,37464929533095","100,62700097610535","86,80925764238518","106,61396809723198","130,26002765423476"
poly,"10,0",auto,"0,01",2,"109,15324152740668","499,65537667528514","409,9352912030094","109,15324152740668","476,13351743576953","409,9352912030094","109,15324152740666","126,24563102709828","102,10519952678666","111,3921717726887","100,64321594608623","86,81521983683923","106,61095480278799","130,26029777955964"
