kernel,C,gamma,epsilon,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
rbf,"1,0",0.01,"0,1","56,31751638743397","329,82891408427207","273,04170411455607","56,31751638743397","311,7724944977288","273,04170411455607","56,31751638743396","54,196020553828404","51,00935757128289","49,29542876292713","46,88227906468792","40,58350343666774","63,41283944927777","88,84318587336593"
rbf,"1,0",0.01,"0,01","56,31952605029237","329,84709440166915","273,0620389885005","56,31952605029237","311,7896720523416","273,06203898850043","56,319526050292374","54,197349345611656","51,01175358931127","49,29755127897718","46,8849380382388","40,585550969083556","63,41505157005531","88,84448756076881"
rbf,"1,0",0.01,"0,5","56,322539407299494","329,877664187062","273,08895793951297","56,322539407299494","311,81663605302975","273,08895793951297","56,32253940729949","54,2005098250696","51,01592167509094","49,301942150113845","46,889305850047066","40,58878387949848","63,41612945180563","88,84518301947085"
rbf,"0,1",0.01,"0,5","58,06151283908432","350,9502989511444","290,57477648957365","58,06151283908432","330,1503873177754","290,5747764895737","58,06151283908433","56,84657577711815","52,46504867006813","51,144239483759335","47,40802778667829","41,33281245097719","65,57198709516673","91,66189860982246"
rbf,"0,1",0.01,"0,1","58,0618009723145","350,95096315150613","290,57741991385376","58,0618009723145","330,1511687736505","290,57741991385376","58,061800972314494","56,84637825571575","52,46533388396864","51,1441877173754","47,40839124558933","41,33309601934636","65,57265863515397","91,662561049052"
rbf,"0,1",0.01,"0,01","58,064405139635205","350,9750793220408","290,60308830078895","58,064405139635205","330,1744275715394","290,60308830078895","58,064405139635205","56,84897752357769","52,468409552594494","51,146516935864504","47,41100884615446","41,33544732819931","65,57554081033057","91,6649349807254"
rbf,"0,1",0.1,"0,5","58,99375064239999","360,8612129154185","299,23562266241146","58,99375064239999","339,7851983511385","299,23562266241146","58,993750642399995","57,823922174482284","53,356850314200514","52,2078520026097","48,23329806161328","42,13164165936549","66,4819224205645","92,72076786396414"
rbf,"0,1",0.1,"0,1","58,99727502022276","360,8945146084189","299,27046811033506","58,99727502022276","339,8173312076356","299,27046811033506","58,99727502022275","57,827035840115315","53,36053029863977","52,21070025451159","48,23655216728362","42,13520667863588","66,48628601140825","92,72461389096483"
rbf,"0,1",0.1,"0,01","58,999439452318285","360,91497380846306","299,29187315148954","58,999439452318285","339,8370727546456","299,2918731514896","58,99943945231828","57,82894938198943","53,36279123767062","52,212450019574426","48,2385511712783","42,137395423278434","66,48896410708056","92,72697482535621"
rbf,"0,1",scale,"0,5","59,112265848922014","362,22324679499366","301,0045674104308","59,112265848922014","340,9671784442082","301,00456741043075","59,11226584892201","57,928722920937886","53,53326190567278","52,250286894992165","48,41354834488013","42,26833220087755","66,63328618354498","92,75842249154861"
rbf,"0,1",auto,"0,5","59,112265848922014","362,22324679499366","301,0045674104308","59,112265848922014","340,9671784442082","301,00456741043075","59,11226584892201","57,928722920937886","53,53326190567278","52,250286894992165","48,413548344880134","42,26833220087755","66,63328618354498","92,75842249154861"
rbf,"0,1",scale,"0,01","59,114097127274995","362,2400002178503","301,0225035364931","59,114097127274995","340,98337036589606","301,02250353649316","59,114097127274995","57,930281755921676","53,53509347092623","52,25164033241158","48,4152818430713","42,27015543176184","66,63564833569014","92,7605787211422"
rbf,"0,1",auto,"0,01","59,114097127274995","362,2400002178503","301,0225035364931","59,114097127274995","340,98337036589606","301,02250353649316","59,114097127274995","57,93028175592168","53,53509347092623","52,25164033241158","48,4152818430713","42,27015543176184","66,63564833569014","92,7605787211422"
rbf,"0,1",scale,"0,1","59,116967521684714","362,26676340195525","301,0507400979345","59,116967521684714","341,00927710449383","301,0507400979345","59,116967521684714","57,9328180861653","53,53809070445624","52,253921864152055","48,41805626156031","42,27297430276621","66,63917822145419","92,76373321123864"
rbf,"0,1",auto,"0,1","59,116967521684714","362,2667634019553","301,0507400979345","59,116967521684714","341,00927710449383","301,0507400979346","59,116967521684714","57,9328180861653","53,53809070445624","52,25392186415206","48,41805626156031","42,27297430276621","66,63917822145419","92,76373321123864"
rbf,"1,0",0.1,"0,5","60,30723152936191","373,56697961839734","312,56070013089516","60,30723152936191","352,0423914522701","312,5607001308951","60,30723152936191","59,04898172008435","54,77930471975485","53,306269445322485","49,50930474074163","43,44401003892425","68,0094214932015","94,05332854750431"
rbf,"1,0",0.1,"0,01","60,3103038602202","373,5964589008777","312,59160981501907","60,3103038602202","352,07118508411685","312,5916098150191","60,310303860220195","59,05184340968517","54,782475915227394","53,30872269290022","49,512340908979624","43,447067790263226","68,01317718428251","94,05649912020324"
rbf,"1,0",0.1,"0,1","60,31081528682696","373,60130266875353","312,5966758212527","60,31081528682696","352,0758932063486","312,5966758212527","60,31081528682695","59,05232209410741","54,782980631586895","53,309106914999596","49,51282942039505","43,44760518012316","68,01383443453554","94,057028332041"
rbf,"1,0",scale,"0,01","62,04324615176882","393,8645175336009","335,3061776890493","62,04324615176882","372,5673201179193","335,3061776890493","62,04324615176883","60,76326556408012","57,12771312353762","55,204681761342016","51,68714284546233","45,598334265694206","69,52882616153727","94,39275934072822"
rbf,"1,0",auto,"0,01","62,04324615176883","393,864517533601","335,3061776890494","62,04324615176883","372,5673201179193","335,30617768904943","62,04324615176883","60,76326556408013","57,12771312353763","55,204681761342016","51,68714284546233","45,59833426569421","69,52882616153728","94,39275934072822"
rbf,"1,0",auto,"0,1","62,047666906872486","393,908248881473","335,35378783604597","62,047666906872486","372,61062211282854","335,3537878360459","62,0476669068725","60,76756304460844","57,132482354800686","55,20886964693607","51,69139883021367","45,60290577907661","69,53369007094686","94,39675862152508"
rbf,"1,0",scale,"0,1","62,047666906872486","393,90824888147296","335,35378783604585","62,047666906872486","372,6106221128284","335,35378783604585","62,047666906872486","60,76756304460843","57,132482354800686","55,208869646936066","51,69139883021367","45,60290577907661","69,53369007094685","94,39675862152508"
rbf,"1,0",auto,"0,5","62,05719048499617","394,00683785979413","335,4598933084609","62,05719048499617","372,7090965242488","335,4598933084609","62,05719048499618","60,776743403192405","57,14309347087905","55,21880838754484","51,70114151536884","45,613052829696244","69,54330242448177","94,40419136381007"
rbf,"1,0",scale,"0,5","62,05719048499617","394,006837859794","335,4598933084609","62,05719048499617","372,7090965242487","335,4598933084609","62,05719048499616","60,7767434031924","57,14309347087905","55,21880838754484","51,70114151536884","45,613052829696244","69,54330242448175","94,40419136381007"
rbf,"10,0",0.01,"0,5","63,28709264039588","393,6780610154902","342,86965836313755","63,28709264039588","375,98429068842506","342,8696583631376","63,28709264039588","60,76599757984875","58,51236282951575","56,23103614919421","53,61103824552417","47,95912513267804","70,81105489099848","95,1190336550118"
rbf,"10,0",0.01,"0,01","63,29437222671764","393,75031841523986","342,94139996090223","63,29437222671764","376,0559834559404","342,94139996090223","63,29437222671764","60,771904768823404","58,51169531026204","56,23455354326502","53,61507147830747","47,96522100078674","70,8263848992074","95,13577458637141"
rbf,"10,0",0.01,"0,1","63,29693859248242","393,779809803691","342,9727901179952","63,29693859248242","376,0862721832287","342,9727901179952","63,29693859248243","60,77418140399537","58,51614268092031","56,237922653366894","53,61747936702261","47,96765036881115","70,82768070468993","95,13751296857068"
rbf,"100,0",0.01,"0,1","67,60738601359189","434,68662437143473","387,5962903435079","67,60738601359189","417,4112605145022","387,5962903435079","67,60738601359188","65,59557297489245","63,806108644814444","62,01331586136662","58,08820298834695","52,48739840717717","73,48019736391994","97,78090585462566"
rbf,"100,0",0.01,"0,01","67,61655882033867","434,79975610871054","387,7072664397874","67,61655882033867","417,52144956028366","387,7072664397874","67,61655882033867","65,60217247545928","63,81417776066755","62,02192453810679","58,09579600136088","52,49631472594819","73,49221209993331","97,79331414089464"
rbf,"100,0",0.01,"0,5","67,63736668068411","434,95882666982607","387,9133982853293","67,63736668068411","417,7064105699348","387,9133982853294","67,63736668068411","65,63917272627786","63,84715968367766","62,045923423838204","58,12543759526918","52,51852265736774","73,4922649279988","97,79308575035934"
rbf,"10,0",0.1,"0,01","68,83038782923742","462,9548802665222","405,8218451222016","68,83038782923742","441,10426409202347","405,82184512220164","68,83038782923742","67,21112467432935","63,86495583456432","61,34378793283372","57,91320534820571","52,48104659580046","77,2398813310789","101,75871308784947"
rbf,"10,0",0.1,"0,1","68,8308145135737","462,959340113808","405,82652455657814","68,8308145135737","441,10883945860803","405,8265245565782","68,8308145135737","67,21152709179444","63,86534125995659","61,344151849377994","57,913681024785674","52,481547414469816","77,24034076472142","101,75911218990996"
rbf,"10,0",0.1,"0,5","68,83317855754345","462,98500558791636","405,8532411500372","68,83317855754345","441,1348604900945","405,85324115003726","68,83317855754345","67,21378348492522","63,86759718910158","61,34631739334516","57,91618696795579","52,48426497670542","77,24282225983912","101,76127763093189"
rbf,"10,0",scale,"0,5","70,95643574729584","493,30104032944075","442,7870380612939","70,95643574729584","475,0426858715467","442,78703806129397","70,95643574729583","68,70462638734054","66,47425743094564","63,73575212202347","60,70368192224409","56,058520140557405","79,45916987929219","101,55904234866753"
rbf,"10,0",auto,"0,5","70,95643574731395","493,30104032958167","442,787038061463","70,95643574731395","475,04268587171237","442,787038061463","70,95643574731395","68,70462638733777","66,47425743095243","63,73575212203035","60,703681922269595","56,058520140589","79,45916987932455","101,55904234869396"
rbf,"10,0",auto,"0,1","70,95928532111466","493,3402197138365","442,82726821592684","70,95928532111466","475,0829823411744","442,82726821592684","70,95928532111466","68,70438527875784","66,47603295976022","63,73704542973266","60,70812864448878","56,06167670632845","79,46461362092046","101,56311460781421"
rbf,"10,0",scale,"0,1","70,95928532126186","493,3402197156542","442,8272682178116","70,95928532126186","475,08298234297826","442,82726821781154","70,95928532126186","68,70438527889652","66,4760329599124","63,737045429882514","60,70812864463636","56,06167670648941","79,46461362107343","101,56311460794241"
rbf,"10,0",auto,"0,01","70,96130557312672","493,36213280486805","442,85018685354396","70,96130557312672","475,10454621679645","442,85018685354396","70,96130557312674","68,70537624662899","66,47737197876404","63,7381233853028","60,7102560269454","56,064000965246784","79,4679187501299","101,5660916588692"
rbf,"10,0",scale,"0,01","70,96130557335819","493,3621328076845","442,85018685650454","70,96130557335819","475,10454621962265","442,85018685650454","70,9613055733582","68,70537624683774","66,47737197898837","63,73812338552797","60,71025602718959","56,06400096549811","79,46791875038092","101,56609165908462"
