kernel,C,gamma,epsilon,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
rbf,"1,0",0.1,"0,1","56,475921463607946","348,2925942196623","275,8584498043309","56,475921463607946","319,7785849991624","275,858449804331","56,475921463607946","55,64609566785812","48,661218586451895","49,78517874721682","45,292761567257244","43,043091625082624","63,93776486581554","88,9653391855734"
rbf,"1,0",0.1,"0,5","56,478765561918365","348,3118631415733","275,8835467027487","56,478765561918365","319,8002591483377","275,8835467027487","56,47876556191837","55,64838124700581","48,66491984946978","49,78760492377178","45,294481794459195","43,04460968448746","63,94166518550202","88,96969624873253"
rbf,"0,1",0.1,"0,5","57,33430789037137","359,77464483400877","284,84208272452116","57,33430789037137","331,5595873622256","284,84208272452116","57,33430789037137","56,00628494362603","48,61982797916803","50,76746945796911","46,91103534878357","44,88707195137078","64,83685172022086","89,31161383146124"
rbf,"0,1",0.1,"0,1","57,3390268826912","359,81269749267324","284,8868058102257","57,3390268826912","331,59701429802135","284,88680581022567","57,3390268826912","56,01019733518051","48,62453846293023","50,77100083234686","46,91545419885596","44,89149803552019","64,8431735832333","89,31732573077136"
rbf,"0,1",0.1,"0,01","57,34159928605608","359,8342091375324","284,9116008231623","57,34159928605608","331,61827111039594","284,9116008231623","57,34159928605608","56,012454913201424","48,627280669696475","50,77293160078455","46,91777397651573","44,893787682771816","64,84648998742678","89,32047617199575"
rbf,"10,0",0.1,"0,01","59,54091871202851","370,55506506513814","304,1360502093516","59,54091871202851","343,3842598806926","304,1360502093516","59,54091871202851","59,36784834140193","53,2555394755383","54,42423940771169","47,96710011538945","43,72560313424151","66,37372883535146","91,67237167456521"
rbf,"10,0",0.1,"0,1","59,54148353520782","370,5574646629126","304,13991197633607","59,54148353520782","343,38695476722523","304,13991197633607","59,54148353520782","59,36811560644337","53,25561603174013","54,425086560660475","47,96767782854798","43,725474090769026","66,37492101884088","91,67349360945283"
rbf,"10,0",0.1,"0,5","59,543450396126815","370,568731548752","304,154746248297","59,543450396126815","343,3957674838431","304,15474624829704","59,54345039612682","59,36633190864428","53,256187411631174","54,428244608361794","47,970151396119064","43,724772311363026","66,38068320481202","91,67778193195642"
rbf,"100,0",auto,"0,01","61,802636421094434","395,096603504825","329,93783058531136","61,802636421094434","365,09389244357635","329,93783058531136","61,80263642109443","62,9122604327314","56,59570988663826","60,77228981909867","50,90832280904427","44,59087366715227","65,51038820171003","91,32861013128608"
rbf,"100,0",auto,"0,1","61,82033387214976","395,268106305723","330,12797732639694","61,82033387214976","365,2762718107967","330,12797732639694","61,82033387214977","62,92891448694618","56,61634714592887","60,790211813472425","50,92746511254388","44,61568499393195","65,52727643483644","91,33643711738863"
rbf,"100,0",auto,"0,5","61,86133447219116","395,6789959545366","330,6112892640078","61,86133447219116","365,7111434990703","330,6112892640077","61,861334472191174","62,98934353002507","56,68717141091928","60,83672830281887","50,94607593235711","44,6270681708701","65,55419973311675","91,388754225231"
rbf,"100,0",scale,"0,5","62,293996242310115","400,2554124447189","335,8330218580089","62,293996242310115","370,694966033802","335,8330218580089","62,29399624231012","63,34610432186695","57,27655018456635","61,19995233443498","51,303929328893965","45,02851736270787","66,0770384563927","91,82588170730804"
rbf,"100,0",scale,"0,1","62,3040026257638","400,33601788637384","335,8893150951234","62,3040026257638","370,76724170589983","335,8893150951234","62,304002625763815","63,31510184278446","57,24951170028771","61,191354748926784","51,33372566742277","45,06608872694891","66,13369582944573","91,83853986453026"
rbf,"100,0",scale,"0,01","62,306110667088745","400,34741301992153","335,89052974847766","62,306110667088745","370,7733344318746","335,8905297484776","62,30611066708874","63,306256416685045","57,24063720175528","61,18510082412962","51,34001233468494","45,07681181596223","66,14568854057075","91,8482675358333"
rbf,"100,0",0.1,"0,01","72,42826317168654","504,73181300533025","447,19896618465924","72,42826317168654","482,5242910147332","447,19896618465924","72,42826317168655","71,05018833662518","66,30434359590492","67,97958370356926","61,894815540660325","56,52934690899964","80,23522889165496","103,0043352243915"
rbf,"100,0",0.1,"0,1","72,43031196319822","504,7539241380773","447,2206712846614","72,43031196319822","482,5490369105495","447,2206712846614","72,4303119631982","71,05199991358018","66,30648900530822","67,98247874753794","61,897090104223885","56,531994245217305","80,23663288198289","103,00549884453713"
rbf,"100,0",0.1,"0,5","72,44644468500725","504,9141427375448","447,39161752004145","72,44644468500725","482,72864583996665","447,3916175200414","72,44644468500725","71,06712728585003","66,31987732153961","67,99845246070512","61,912611046776746","56,55213727586421","80,25678694047696","103,0181204638381"
