177,749842
177,749842
166,798783
166,798783
153,389323
153,389323
125,229457
125,229457
129,699277
129,699277
126,793894
126,793894
118,152242
118,152242
135,286552
135,286552
132,083181
132,083181
147,280569
147,280569
176,930375
176,930375
193,915691
193,915691
201,588882
201,588882
198,087523
198,087523
186,2425
186,2425
201,439888
201,439888
256,716662
256,716662
336,279458
336,279458
297,988
297,988
263,272398
263,272398
246,361579
246,361579
219,915144
219,915144
224,23597
224,23597
183,039129
183,039129
165,38334
165,38334
123,441529
123,441529
114,352895
114,352895
95,132669
95,132669
83,958119
83,958119
88,725927
88,725927
94,015214
94,015214
113,756919
113,756919
166,426298
166,426298
204,419768
204,419768
275,6389
275,6389
283,0886
283,0886
347,751996
347,751996
316,165268
316,165268
260,292518
260,292518
216,0413
216,0413
238,3904
238,3904
335,2365
335,2365
332,629105
332,629105
290,5383
290,5383
260,7395
260,7395
205,164738
205,164738
239,731346
239,731346
224,384964
224,384964
159,349083
159,349083
140,873827
140,873827
142,065779
142,065779
119,94017
119,94017
104,072309
104,072309
114,501889
114,501889
115,246859
115,246859
119,493188
119,493188
137,372468
137,372468
172,08807
172,08807
241,668268
241,668268
254,109267
254,109267
251,725363
251,725363
307,747107
307,747107
195,033146
195,033146
173,875998
173,875998
161,509496
161,509496
185,795518
185,795518
199,353972
199,353972
208,5916
208,5916
188,700901
188,700901
164,712867
164,712867
223,044018
223,044018
172,08807
172,08807
102,656866
102,656866
112,415973
112,415973
111,298518
111,298518
112,192482
112,192482
122,100583
122,100583
122,398571
122,398571
171,268603
171,268603
311,322963
311,322963
318,027693
318,027693
249,266962
249,266962
247,628028
247,628028
261,409973
261,409973
260,7395
260,7395
260,7395
260,7395
260,292518
260,292518
260,143524
260,143524
283,0886
283,0886
307,002137
307,002137
319,964615
319,964615
312,589412
312,589412
260,292518
260,292518
228,407802
228,407802
223,491
223,491
178,04783
178,04783
186,465991
186,465991
181,921674
181,921674
166,426298
166,426298
160,16855
160,16855
148,994
148,994
175,291441
175,291441
215,743312
215,743312
285,472504
285,472504
308,790065
308,790065
303,351784
303,351784
302,904802
302,904802
300,446401
300,446401
284,951025
284,951025
275,489906
275,489906
260,069027
260,069027
249,56495
249,56495
261,48447
261,48447
316,165268
316,165268
319,890118
319,890118
301,71285
301,71285
256,940153
256,940153
234,144071
234,144071
227,513838
227,513838
201,067403
201,067403
198,311014
198,311014
190,563326
190,563326
183,188123
183,188123
167,61825
167,61825
172,535052
172,535052
186,168003
186,168003
198,311014
198,311014
208,815091
208,815091
229,599754
229,599754
254,928734
254,928734
282,34363
282,34363
298,583976
298,583976
303,426281
303,426281
285,025522
285,025522
264,017368
264,017368
275,042924
275,042924
307,523616
307,523616
334,864015
334,864015
349,39093
349,39093
327,414315
327,414315
297,541018
297,541018
241,37028
241,37028
249,639447
249,639447
224,310467
224,310467
196,746577
196,746577
194,064685
194,064685
185,721021
185,721021
166,798783
166,798783
166,277304
166,277304
180,28274
180,28274
230,9407
230,9407
316,388759
316,388759
320,113609
320,113609
312,365921
312,365921
310,056514
310,056514
309,16255
309,16255
302,904802
302,904802
300,446401
300,446401
271,988547
271,988547
249,490453
249,490453
254,705243
254,705243
302,904802
302,904802
303,94776
303,94776
277,054343
277,054343
237,943418
237,943418
241,668268
241,668268
233,548095
233,548095
223,044018
223,044018
90,290364
90,290364
155,102754
155,102754
152,197371
152,197371
149,142994
149,142994
134,169097
134,169097
146,610096
146,610096
180,878716
180,878716
245,8401
245,8401
343,654661
343,654661
260,7395
260,7395
245,8401
245,8401
274,968427
274,968427
269,157661
269,157661
269,157661
269,157661
212,465444
212,465444
238,986376
238,986376
276,830852
276,830852
335,2365
335,2365
349,912409
349,912409
298,658473
298,658473
257,834117
257,834117
234,814544
234,814544
242,11525
242,11525
208,5916
208,5916
194,43717
194,43717
186,98747
186,98747
181,02771
181,02771
173,056531
173,056531
163,595412
163,595412
167,245765
167,245765
171,864579
171,864579
186,2425
186,2425
239,209867
239,209867
276,532864
276,532864
269,157661
269,157661
266,401272
266,401272
253,736782
253,736782
234,963538
234,963538
207,995624
207,995624
201,1419
201,1419
227,21585
227,21585
275,564403
275,564403
274,14896
274,14896
260,7395
260,7395
216,0413
216,0413
186,316997
186,316997
186,98747
186,98747
165,979316
165,979316
116,066326
116,066326
141,916785
141,916785
128,432828
128,432828
94,983675
94,983675
80,531257
80,531257
80,829245
80,829245
73,379545
73,379545
139,011402
139,011402
140,575839
140,575839
155,102754
155,102754
161,286005
161,286005
169,85316
169,85316
201,1419
201,1419
169,85316
169,85316
167,171268
167,171268
169,182687
169,182687
178,196824
178,196824
206,580181
206,580181
260,7395
260,7395
245,8401
245,8401
245,8401
245,8401
223,491
223,491
200,620421
200,620421
172,237064
172,237064
163,520915
163,520915
149,291988
149,291988
147,355066
147,355066
144,226192
144,226192
145,716132
145,716132
161,434999
161,434999
212,31645
212,31645
309,982017
309,982017
342,164721
342,164721
327,7868
327,7868
312,440418
312,440418
312,589412
312,589412
309,16255
309,16255
305,4377
305,4377
297,094036
297,094036
279,36375
279,36375
282,716115
282,716115
320,113609
320,113609
319,443136
319,443136
297,988
297,988
246,510573
246,510573
208,070121
208,070121
208,5916
208,5916
179,910255
179,910255
160,243047
160,243047
147,578557
147,578557
142,28927
142,28927
117,258278
117,258278
113,384434
113,384434
150,409443
150,409443
181,623686
181,623686
267,593224
267,593224
301,71285
301,71285
305,4377
305,4377
288,005402
288,005402
271,616062
271,616062
260,7395
260,7395
248,07501
248,07501
239,954837
239,954837
245,8401
245,8401
268,785176
268,785176
312,440418
312,440418
311,173969
311,173969
242,189747
242,189747
211,57148
211,57148
192,723739
192,723739
179,314279
179,314279
195,92711
195,92711
156,4437
156,4437
146,461102
146,461102
135,063061
135,063061
134,541582
134,541582
134,467085
134,467085
155,177251
155,177251
179,53777
179,53777
211,869468
211,869468
226,545377
226,545377
232,058155
232,058155
237,198448
237,198448
252,395836
252,395836
254,630746
254,630746
263,644883
263,644883
260,069027
260,069027
278,916768
278,916768
294,859126
294,859126
320,3371
320,3371
322,721004
322,721004
289,495342
289,495342
223,193012
223,193012
208,293612
208,293612
202,855331
202,855331
175,216944
175,216944
180,953213
180,953213
171,790082
171,790082
165,532334
165,532334
164,116891
164,116891
167,841741
167,841741
178,04783
178,04783
222,299048
222,299048
283,535582
283,535582
335,162003
335,162003
308,343083
308,343083
270,945589
270,945589
260,292518
260,292518
244,126669
244,126669
261,186482
261,186482
301,71285
301,71285
320,262603
320,262603
315,420298
315,420298
340,898272
340,898272
309,386041
309,386041
241,668268
241,668268
254,03477
254,03477
229,897742
229,897742
212,018462
212,018462
193,617703
193,617703
189,96735
189,96735
188,849895
188,849895
181,474692
181,474692
175,06795
175,06795
170,896118
170,896118
174,918956
174,918956
203,525804
203,525804
307,076634
307,076634
339,184841
339,184841
341,643242
341,643242
345,293595
345,293595
349,763415
349,763415
327,7868
327,7868
313,259885
313,259885
297,913503
297,913503
280,481205
280,481205
283,0886
283,0886
337,173422
337,173422
357,883588
357,883588
333,448572
333,448572
259,324057
259,324057
228,035317
228,035317
229,152772
229,152772
203,37681
203,37681
202,929828
202,929828
197,789535
197,789535
190,563326
190,563326
184,231081
184,231081
179,388776
179,388776
188,626404
188,626404
184,529069
184,529069
190,488829
190,488829
215,072839
215,072839
243,381699
243,381699
256,940153
256,940153
255,748201
255,748201
229,748748
229,748748
211,496983
211,496983
201,588882
201,588882
202,035864
202,035864
231,834664
231,834664
296,274569
296,274569
298,211491
298,211491
233,101113
233,101113
201,439888
201,439888
192,94723
192,94723
190,190841
190,190841
181,176704
181,176704
168,36322
168,36322
150,856425
150,856425
154,655772
154,655772
156,220209
156,220209
155,624233
155,624233
161,211508
161,211508
154,804766
154,804766
172,013573
172,013573
181,02771
181,02771
