alpha,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
"50,0","96,53875003938296","885,5856921553917","689,9780785288566","96,53875003938296","806,128870685291","689,9780785288567","96,53875003938296","95,88166705227243","95,94142379128586","97,68844082631091","94,01920705618267","77,70809343595177","97,73709837980498","116,79531973387208"
"0,01","96,5388018969948","886,3909163309168","691,3923834869611","96,5388018969948","807,2524373118298","691,3923834869612","96,53880189699478","95,93123945482083","95,96806157699623","97,61910690866023","93,9818687871941","77,7440918917261","97,77107722909622","116,75616743046987"
"0,1","96,53903180981501","886,3942958732315","691,3934796837927","96,53903180981501","807,2548333276167","691,393479683793","96,53903180981501","95,93146062781199","95,96822950774063","97,61943021068413","93,98213554013185","77,74426351426814","97,77118506940826","116,75651819866005"
"1,0","96,53957507944554","886,3889103416536","691,372355333468","96,53957507944554","807,241794506975","691,3723553334681","96,53957507944554","95,93204350869169","95,96806577545524","97,62117735926607","93,98314282231391","77,74407611812947","97,77077068334327","116,7577492889192"
"10,0","96,54597277219753","886,3658442515009","691,1931597367338","96,54597277219753","807,1438692838422","691,193159736734","96,54597277219753","95,93699304834766","95,96809678458413","97,63912867476645","93,99482132574894","77,74366923095837","97,76790945238582","116,77119088859124"
"0,001","96,56270960310886","886,9265672723308","691,8320880996228","96,56270960310886","807,758811630228","691,8320880996228","96,56270960310887","95,9530647533615","95,99328086760111","97,6393107631682","94,00452294506228","77,77010737339538","97,79149935845656","116,78718116071701"
"0,0001","96,82309435953769","892,8809527241052","696,7193408252253","96,82309435953769","813,3860519459422","696,7193408252253","96,82309435953769","96,14451735107369","96,27384186526551","97,86511531747432","94,2682220500703","78,05876159322636","98,01833626419142","117,13286607546222"
