alpha,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
"50,0","68,26456068994435","430,503273098804","295,94532928073806","68,26456068994435","341,7949274435437","295,945329280738","68,26456068994436","50,722212320000025","48,374706848486774","68,97568928266449","61,8599614923536","76,536906562495","84,25331032076411","87,12913800284642"
"10,0","68,66237915984115","427,1437851586564","293,8160390216357","68,66237915984115","339,7202317379488","293,81603902163573","68,66237915984115","50,55746651614777","47,83082146741147","69,3205128170406","62,24203218910118","77,05185382739101","85,91419110180328","87,71977619999278"
"0,0001","69,5687327919798","406,964158831605","335,5814874672413","69,5687327919798","386,837794143761","339,1567058809151","70,37118545152269","55,39854258579241","57,741529420620154","53,85289603892961","75,82126007800301","97,96335846294869","80,26583301992531","71,84281399416528"
"1,0","74,94025582518051","473,0652672784031","334,2320918498749","74,94025582518051","383,59043405570685","334,2320918498749","74,94025582518051","55,88167392734583","57,51526850420393","72,19442850936768","67,15387908406825","83,5026797940989","89,81706665725854","98,51679429992052"
"0,1","78,40064208663156","510,2500326810853","367,5560781841309","78,40064208663156","419,64983193997915","367,55607818413085","78,40064208663155","61,32342053877149","63,820126908123356","74,34433032655681","71,82434152257404","83,44565592609366","92,43371671714769","101,6129026671538"
"0,01","78,74997997453447","518,5726298616833","375,01027328005387","78,74997997453447","427,5050125295402","375,0102732800538","78,74997997453447","62,344994847629366","64,9540377114109","74,75724501873388","72,69405830173022","82,71808681681154","91,98856927098213","101,79286785444324"
"0,001","78,78984935556022","519,4410384433959","375,7862342320759","78,78984935556022","428,3307283328483","375,7862342320759","78,78984935556022","62,447018147048894","65,07077224018147","74,80722323878925","72,78484187480983","82,65264402188268","91,94628725259648","101,82015871361291"
"0,0001","78,79626922625334","519,547858944726","375,8817115946766","78,79626922625334","428,432070608833","375,88171159467663","78,79626922625333","62,459069885902835","65,08643644498491","74,81530827740352","72,796988320479","82,64876925906275","91,94348502225748","101,82382737368283"
