n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,subsample_freq,colsample_bytree,reg_alpha,reg_lambda,train_start,train_end,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
200,"0,01",127,-1,50,"0,8",1,"1,0","0,0","0,0",2022-01-01,2023-12-31 23:00:00,"62,28618228963593","337,74851016796305","273,7010710003774","62,28618228963593","316,24124177941616","274,3128396518633","61,98314502135597","55,59699975483673","49,796890705202806","53,2370877286735","57,874513123141156","65,30678294674986","69,57325037184768","82,85365204947604"
200,"0,01",127,-1,50,"0,8",1,"1,0","0,0","0,0",2021-01-01,2023-12-31 23:00:00,"64,0216667332958","342,7499580810559","278,68722989094385","64,0216667332958","321,2607957532859","279,56396660784543","63,775010778117874","58,281224274529414","51,32373305296836","53,68225580869016","59,31262477616342","67,76250215488258","71,72173826434494","84,68609450426048"
200,"0,01",127,-1,50,"0,8",1,"1,0","0,0","0,0",2023-01-01,2023-12-31 23:00:00,"66,11923664665522","349,2858356893558","283,81891027631195","66,11923664665522","327,6922347738056","285,532946422486","66,04977922142012","61,68080158006701","54,25510621314168","55,12331748712727","62,43068728459048","69,7453072697872","73,68975497498033","85,73431917581671"
200,"0,01",127,-1,50,"0,8",1,"1,0","0,0","0,0",2020-01-01,2023-12-31 23:00:00,"66,23096083268958","349,9653822395719","284,83164624262093","66,23096083268958","328,3493744591685","286,19925665978894","66,086485745667","61,78655283674542","53,21847773585216","54,414052451386695","61,2022505532375","71,01142089225114","74,18111400597634","87,12168445419546"
200,"0,01",127,-1,50,"0,8",1,"1,0","0,0","0,0",2019-01-01,2023-12-31 23:00:00,"67,1412154362082","352,8680170732708","287,350221392055","67,1412154362082","331,11959592047475","288,9200944822822","67,0447209525036","62,91722373406968","54,024162442172425","54,824432034127994","62,3112139960551","72,11167243186486","75,29898703253428","88,15512529917714"
