fold,week,week_start,week_end,weekly_rmse,weekly_mae,weekly_smape
1,1,2025-01-01,2025-01-07 23:00:00,71.51727798640759,46.530536398809524,20.21985195070895
1,2,2025-01-08,2025-01-14 23:00:00,83.39280332348702,61.65768025595238,9.798730637087465
1,3,2025-01-15,2025-01-21 23:00:00,289.44531572012477,160.58702069047618,12.544484296837336
1,4,2025-01-22,2025-01-28 23:00:00,102.10819998950495,72.04226019642857,14.122205635434506
1,5,2025-01-29,2025-02-04 23:00:00,128.76412943030772,93.36150733928572,9.83649667487342
1,6,2025-02-05,2025-02-11 23:00:00,91.59029239011568,65.40594013095237,8.497121511713617
1,7,2025-02-12,2025-02-18 23:00:00,161.35532669539262,109.60316051190478,9.265589277946184
1,8,2025-02-19,2025-02-25 23:00:00,101.06613785099941,71.22142052380953,12.908849624355568
1,9,2025-02-26,2025-03-04 23:00:00,111.45305617304936,84.84872897023808,20.596607437222048
1,10,2025-03-05,2025-03-11 23:00:00,153.8342245029115,107.10198623214286,37.92728629497709
1,11,2025-03-12,2025-03-18 23:00:00,123.76933691002715,90.05497158928571,20.817535639061628
1,12,2025-03-19,2025-03-25 23:00:00,177.2641705216153,113.64118951785713,38.78656419136582
1,13,2025-03-26,2025-04-01 23:00:00,150.21749102962767,109.64755078571427,35.532287115070474
1,14,2025-04-02,2025-04-08 23:00:00,194.5583829006027,135.4115506190476,48.47149562971501
1,15,2025-04-09,2025-04-15 23:00:00,148.3671960942094,100.37573663095239,49.296871487080345
1,16,2025-04-16,2025-04-22 23:00:00,150.8526239176332,96.63561885714287,30.28230395424195
1,17,2025-04-23,2025-04-29 23:00:00,146.0578310660812,96.16914045833335,36.19123874408189
1,18,2025-04-30,2025-05-06 23:00:00,144.7431910816337,93.05526141071428,49.01987958434503
1,19,2025-05-07,2025-05-13 23:00:00,179.44820144996893,116.81460432142856,40.32589544178366
1,20,2025-05-14,2025-05-20 23:00:00,174.55509870022055,117.45864944642857,53.28494781695263
1,21,2025-05-21,2025-05-27 23:00:00,134.97035446061594,86.08465844642858,65.02770032327108
1,22,2025-05-28,2025-06-03 23:00:00,153.85348400516799,100.59009652380952,54.13994540755789
1,23,2025-06-04,2025-06-10 23:00:00,128.99103433428198,89.07654254761904,50.41647614059103
1,24,2025-06-11,2025-06-17 23:00:00,164.65965633073844,107.55133627976193,60.661876839670335
1,25,2025-06-18,2025-06-24 23:00:00,159.41393534959744,102.27147355952381,59.32430761143402
1,26,2025-06-25,2025-07-01 23:00:00,245.0335776239502,137.84323214285715,44.79596286430383
1,27,2025-07-02,2025-07-08 23:00:00,134.85322188730152,91.42389579166667,40.6264513803931
1,28,2025-07-09,2025-07-15 23:00:00,105.38635525608215,75.58344044642858,22.73773919526581
1,29,2025-07-16,2025-07-22 23:00:00,98.06824422263759,68.33203982142857,25.690511488038236
1,30,2025-07-23,2025-07-29 23:00:00,103.76058185615939,68.06021555952381,17.441231150532236
1,31,2025-07-30,2025-08-05 23:00:00,95.85225861515366,62.86529207738096,44.80426707651542
1,32,2025-08-06,2025-08-12 23:00:00,161.8167804378058,101.69289175595237,49.13508904812173
1,33,2025-08-13,2025-08-19 23:00:00,178.8719258464156,107.48419066071426,31.527176212925696
1,34,2025-08-20,2025-08-26 23:00:00,149.1320426630765,93.16672262499999,27.168201364107603
1,35,2025-08-27,2025-09-02 23:00:00,201.42723376606475,120.95159337499999,20.844854867238265
1,36,2025-09-03,2025-09-09 23:00:00,320.90311258822965,166.97323808928573,35.044142180656266
1,37,2025-09-10,2025-09-16 23:00:00,170.71589899436742,96.31036927380953,66.22331360130227
1,38,2025-09-17,2025-09-23 23:00:00,169.60345368660336,105.73492002380954,52.11945688498807
1,39,2025-09-24,2025-09-30 23:00:00,287.4908021613409,149.72590355505952,23.632350900671284
1,40,2025-10-01,2025-10-07 23:00:00,203.88036911428134,108.69841869345237,45.166034688952095
1,41,2025-10-08,2025-10-14 23:00:00,220.0029031213011,112.60280344940475,12.033636140709662
1,42,2025-10-15,2025-10-21 23:00:00,123.15802353108067,80.30325732886905,12.303353280672418
1,43,2025-10-22,2025-10-28 23:00:00,129.60026472626816,74.18928261607144,28.682146324285128
1,44,2025-10-29,2025-11-04 23:00:00,70.390822107417,53.13780880357143,12.973689020229804
1,45,2025-11-05,2025-11-11 23:00:00,79.79443088576268,56.619563421130955,7.196699206744357
1,46,2025-11-12,2025-11-18 23:00:00,65.88322416299735,48.91838590476192,9.431888136325577
1,47,2025-11-19,2025-11-25 23:00:00,160.2319250757766,96.02967158184525,8.799752053262019
1,48,2025-11-26,2025-12-02 23:00:00,99.4601083770479,51.33582677380952,6.883247869125257
1,49,2025-12-03,2025-12-09 23:00:00,95.21369021440917,59.890001370535714,9.03516057003242
1,50,2025-12-10,2025-12-16 23:00:00,62.85280408995562,43.146434483630955,9.380864479506085
1,51,2025-12-17,2025-12-23 23:00:00,50.76490325418143,36.4806104672619,8.703653424543482
1,52,2025-12-24,2025-12-30 23:00:00,41.80309398174279,30.262572372023804,5.119614222610576
1,53,2025-12-31,2025-12-31 23:00:00,47.33603318722434,39.09657890625001,6.112940864990665
