fold,week,week_start,week_end,weekly_rmse,weekly_mae,weekly_smape
1,1,2025-01-01,2025-01-07 23:00:00,543.4560437275026,430.0010707142858,82.72520507621896
1,2,2025-01-08,2025-01-14 23:00:00,322.7979731379037,253.7665095244709,46.58724601164387
1,3,2025-01-15,2025-01-21 23:00:00,861.4247260736418,646.7084287892416,73.19053393137133
1,4,2025-01-22,2025-01-28 23:00:00,411.3274738018324,341.22981731826866,57.681549221827254
1,5,2025-01-29,2025-02-04 23:00:00,503.4521152658016,409.908433484029,57.59779915981822
1,6,2025-02-05,2025-02-11 23:00:00,300.0562077193241,247.7940495116598,43.475164692439996
1,7,2025-02-12,2025-02-18 23:00:00,586.5700032533808,516.7906308203752,67.6769995774161
1,8,2025-02-19,2025-02-25 23:00:00,378.2428344973814,293.22389583554786,48.629387947579986
1,9,2025-02-26,2025-03-04 23:00:00,291.84881263527694,255.29564373210684,49.58048990958431
1,10,2025-03-05,2025-03-11 23:00:00,489.11987509996237,419.65419939114247,80.21032781031575
1,11,2025-03-12,2025-03-18 23:00:00,337.24109615466756,281.0799896113454,51.67192978297711
1,12,2025-03-19,2025-03-25 23:00:00,523.5019636060275,458.7287844988817,91.16665583594408
1,13,2025-03-26,2025-04-01 23:00:00,405.3619969043003,330.8755132197989,72.22243872951114
1,14,2025-04-02,2025-04-08 23:00:00,507.86589063220174,399.1306383671606,83.8692680299743
1,15,2025-04-09,2025-04-15 23:00:00,500.79746541980467,401.390904592403,91.65884840452344
1,16,2025-04-16,2025-04-22 23:00:00,399.5714418818888,317.2441688866072,62.98794093247921
1,17,2025-04-23,2025-04-29 23:00:00,385.6018948459294,315.071951739329,71.69151310684923
1,18,2025-04-30,2025-05-06 23:00:00,490.24790424955324,366.38127634785553,83.06328428013207
1,19,2025-05-07,2025-05-13 23:00:00,427.229252101315,368.73347329098465,81.77804614664905
1,20,2025-05-14,2025-05-20 23:00:00,536.5318486980495,432.48809154824465,92.63259357362438
1,21,2025-05-21,2025-05-27 23:00:00,506.4452954104893,402.95228934215976,109.82593315225245
1,22,2025-05-28,2025-06-03 23:00:00,501.4063959657043,401.49531351100154,92.9075273560044
1,23,2025-06-04,2025-06-10 23:00:00,408.2182812406582,307.6169466058066,80.60882584872301
1,24,2025-06-11,2025-06-17 23:00:00,526.147802505109,424.31689224364277,96.83039423697932
1,25,2025-06-18,2025-06-24 23:00:00,506.61823603524635,400.94811457674905,103.09249467995629
1,26,2025-06-25,2025-07-01 23:00:00,617.982767918138,456.2858421131053,88.6439121521251
1,27,2025-07-02,2025-07-08 23:00:00,525.7629399575922,411.7378281410257,82.1086598074417
1,28,2025-07-09,2025-07-15 23:00:00,403.11951249756095,339.09827092583953,65.16610845367963
1,29,2025-07-16,2025-07-22 23:00:00,367.3732774985987,315.65363163596146,61.915609982826425
1,30,2025-07-23,2025-07-29 23:00:00,353.2789899225719,293.77028692517405,57.82342558117216
1,31,2025-07-30,2025-08-05 23:00:00,386.90666696323257,318.3770030466335,89.42335646786881
1,32,2025-08-06,2025-08-12 23:00:00,521.1880414574073,423.2733417005972,97.20694787890348
1,33,2025-08-13,2025-08-19 23:00:00,416.9686675950566,346.6364048525406,69.14365670420715
1,34,2025-08-20,2025-08-26 23:00:00,423.9699568657536,343.2747833781134,70.17284418002033
1,35,2025-08-27,2025-09-02 23:00:00,411.7809528764085,307.6315783752712,56.454132937664724
1,36,2025-09-03,2025-09-09 23:00:00,567.5799156664004,415.1421519001957,77.24542964569248
1,37,2025-09-10,2025-09-16 23:00:00,469.9866271767256,382.33926561771347,110.05308552428363
1,38,2025-09-17,2025-09-23 23:00:00,481.224188629665,379.8460112217853,102.3492432027678
1,39,2025-09-24,2025-09-30 23:00:00,564.221202224919,412.7952202028981,66.71611624547911
1,40,2025-10-01,2025-10-07 23:00:00,506.6263499110846,435.35660860637154,102.0895371729941
1,41,2025-10-08,2025-10-14 23:00:00,568.1409140865378,420.8512528625154,61.02777330420588
1,42,2025-10-15,2025-10-21 23:00:00,282.9526402723018,205.27825545446814,36.30648495205479
1,43,2025-10-22,2025-10-28 23:00:00,401.6857957001862,326.904332545254,81.78631970318256
1,44,2025-10-29,2025-11-04 23:00:00,337.3288086179741,253.21556919907067,51.96155433951971
1,45,2025-11-05,2025-11-11 23:00:00,339.3999023315004,273.57266335530073,45.832264009351206
1,46,2025-11-12,2025-11-18 23:00:00,382.2686966530225,318.48261211040455,57.28573099224646
1,47,2025-11-19,2025-11-25 23:00:00,590.3414532891198,381.0718773417245,49.86068736245352
1,48,2025-11-26,2025-12-02 23:00:00,367.233640163171,279.450263937205,45.85533697443364
1,49,2025-12-03,2025-12-09 23:00:00,270.4716013769761,202.45239492161733,32.24471532236423
1,50,2025-12-10,2025-12-16 23:00:00,346.7243577757408,244.1316127897993,43.654626997097964
1,51,2025-12-17,2025-12-23 23:00:00,359.6496532062582,289.62502961895126,54.77547961742842
1,52,2025-12-24,2025-12-30 23:00:00,311.6970770042896,238.2463387574712,42.81231377002281
1,53,2025-12-31,2025-12-31 23:00:00,182.62794820265847,171.5944936042047,24.81647190712055
