hidden_size;SEQ_LEN;learning_rate;epochs;batch_size;layers;price_zone;target_time;eval_start_anchor;eval_window_end;eval_window_hours;eval_chunk_hours;eval_chunk_stride_hours;eval_num_chunks;avg_weekly_smape;avg_mae;avg_rmse;max_avg_daily_smape_pct;min_avg_daily_smape_pct;status;error;used_chunks;first_chunk_start;last_chunk_start;smape_day_1_pct;smape_day_2_pct;smape_day_3_pct;smape_day_4_pct;smape_day_5_pct;smape_day_6_pct;smape_day_7_pct
64;168;0,0005;20;16;1;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;47,96382384243021;227,62894394255662;291,80240068515707;151,72073068506828;8,704880574864083;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;39,07377422817201;47,17783327173034;42,371916889517706;32,954035186302434;40,19195800801558;57,29977843772175;76,67747087555166
32;168;0,0005;100;32;1;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;48,15635342829792;222,94165455018776;279,52456661713825;150,99289624514674;9,568431769481245;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;39,22181335850296;46,08675356679956;42,27281422509307;34,63712494536822;41,51363231838885;56,995183026735845;76,36715255719695
32;48;0,0005;100;32;1;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;48,18971676801304;228,70672204180593;290,87116610479166;151,4839538405782;8,871382860249707;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;39,44103307544258;45,17982843385788;42,61906812828725;33,509440911941255;40,68711234137243;58,15254410907463;77,73899037611528
64;48;0,0005;20;32;1;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;48,34402520438841;231,0926954903153;295,9716692483174;152,1038817961083;8,581076747796049;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;39,0375392052617;46,50316644572004;42,8550821140031;33,97429855901749;41,14492221113933;57,952459342125685;76,94070855345146
16;48;0,0005;50;16;2;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;48,402395655531485;224,32084390342277;280,8955714554345;151,94444202962828;9,72502398556503;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;39,01667908531775;45,795644894951295;43,99422093786089;35,45235657001407;41,734549611376785;56,68148253990515;76,1418359492945
16;48;0,0005;20;16;2;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;48,42186219110789;228,22078153275345;291,8787420915091;153,03537594371753;12,388125632523405;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;42,01148803670472;47,91007170451008;43,28446084519472;34,73801722270142;41,44100410352085;55,47792342356071;74,09007000156274
32;48;0,001;100;32;1;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;48,52759749826199;232,62197238364786;297,57367299940205;151,3437554065722;8,337099920276021;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;39,42379889903363;46,50582543756474;42,79103588872354;33,64709968478425;40,677075887436146;58,68090994625339;77,96743674403822
16;24;0,0001;100;32;1;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;48,53336719198589;230,6694766826707;295,6852523925088;152,77265311637845;10,410742144249303;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;41,882458672793184;47,94190495119657;43,10467731603572;34,30590785070948;41,19528260861935;56,21350139399486;75,089837550552
16;48;0,0001;100;32;1;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;48,536245446702885;230,613296237631;295,57300006812653;152,79302525125684;10,490724033497628;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;41,98075648495832;47,94048849402277;43,10424387904485;34,32076935707878;41,202094575841336;56,1666930421877;75,03867229378645
16;168;0,0001;50;32;1;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;48,586945671474496;226,96251317160034;288,78497783993066;153,7185290435481;12,473762657416358;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;43,06988091805541;48,03829329341679;43,759802875259126;35,730272413868235;42,1033535936445;54,48978934885212;72,9172272572253
64;48;0,0001;20;32;1;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;48,6481439715876;225,7667124309668;286,72132805884274;154,02341627415993;11,714411842277988;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;42,67112435913757;48,17619628393657;44,206073801177986;36,453149267037396;42,60293288480417;54,141096628858584;72,28643457616096
16;48;0,0001;100;16;1;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;48,71872401057211;224,98022622833298;285,2575375683353;154,31019901671542;11,32665003762395;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;41,66168273896639;48,534228696784915;44,749722438721385;37,30098696251707;43,16564359174485;53,88744369962856;71,73135994564159
32;48;0,0001;50;16;1;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;48,802825397588705;226,5294075744164;287,2479491101975;153,76791931072358;12,085994993953515;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;41,73360869444951;48,71908676014671;44,648810965376256;36,521652439478984;42,61272373524693;54,602540425382735;72,78135476303986
32;168;0,001;100;32;1;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;48,815602497233144;223,90596665447464;279,0571447122943;152,5805703720624;9,847445271015543;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;39,28185785025702;45,956823026405935;43,795590452089755;36,621858503029095;43,37722380230109;57,16767915503826;75,5081846915108
16;24;0,0001;100;32;2;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;48,87781446626313;234,58864478190162;300,9438914651201;152,04495921523892;8,62829392726381;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;40,867076064536974;48,28115596827269;43,4311544481046;34,19682901685459;41,17410714909389;57,662209473210964;76,53216914376821
64;24;0,0001;20;32;1;DK1;2024-01-01 00:00:00;2024-01-01 00:00:00;2025-01-01 00:00:00;8784;168;504;18;48,880179583779004;234,3617975372518;300,11185249364706;152,35564916586264;9,046188249916534;ok;;18;2024-01-01 00:00:00;2024-12-23 00:00:00;42,27029249236754;47,9746042927812;43,21344857644074;34,17901481743624;41,1321909571302;57,23274526641054;76,15896068388658
