n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,subsample_freq,colsample_bytree,reg_alpha,reg_lambda,train_window,val_start,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
200,"0,01",127,-1,1,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"67,4650798169894","447,332029800124","389,7149203412336","67,4650798169894","425,52943042980786","389,7149203412336","67,4650798169894","58,06307266689611","62,77703387144584","60,85004203174801","57,90507711361845","52,67184736599514","77,80925375336187","102,17923191586038"
200,"0,01",127,-1,20,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"67,67971279006854","450,29914619944736","392,2236518197103","67,67971279006854","427,7981827682548","392,22365181971037","67,67971279006854","57,698473447113855","61,86580516683197","60,6841108793931","58,360168776259115","53,48283038663945","78,70193310239438","102,9646677718479"
200,"0,01",63,-1,50,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"67,6930461999197","449,98761051506267","392,1580473144588","67,6930461999197","427,7866728495322","392,1580473144587","67,69304619991972","58,14461447361194","62,42485352873186","60,80243473141409","58,27048042962158","53,22709771220559","78,37490746115444","102,6069350626985"
200,"0,01",63,-1,20,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"67,74210206134111","450,649455881715","392,908889477189","67,74210206134111","428,7264861622586","392,908889477189","67,74210206134111","58,25489398741341","62,897162344267315","61,069126019926536","58,187085715245175","53,02373222540436","78,20852831669572","102,55418582043526"
200,"0,01",127,-1,1,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"67,76381970975984","450,4052352182272","392,8307703612622","67,76381970975984","428,28342561587476","392,8307703612622","67,76381970975983","58,23360260691185","62,70520486726954","60,93054887564895","58,235220276443286","53,20471423462399","78,38989857941857","102,64754852800266"
200,"0,01",63,-1,20,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"67,91252318693573","452,1989852905849","394,51916148736984","67,91252318693573","430,0269100554868","394,51916148736984","67,91252318693573","58,37570632974086","62,78514591420475","61,00217274813043","58,37007347476876","53,357136922771126","78,60875686483725","102,88867005409692"
200,"0,01",63,-1,1,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"68,29482818930194","456,1601503293173","398,74589948468565","68,29482818930194","433,99813197612826","398,74589948468565","68,29482818930192","58,8251310546092","63,09102972949957","61,38596660943063","58,70476660412328","53,716008649037576","79,02720933975911","103,31368533865418"
200,"0,01",63,-1,1,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"69,12878819428016","467,7110697346907","409,6704336913002","69,12878819428016","444,9676170047031","409,67043369130016","69,12878819428015","58,807682269610225","63,08933364715023","61,63341686527626","59,6255880138644","55,25057685249102","80,80631690639368","104,68860280517526"
500,"0,1",15,-1,50,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"70,07483618580318","336,08234091963396","279,2917717987806","70,07483618580318","322,1261175384142","279,29177179878064","70,07483618580318","60,214300315114066","65,10468379963415","67,06785211570329","64,4289625824015","59,76997043463936","73,62207154767364","100,3160125054562"
200,"0,01",15,-1,20,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"70,59168561939957","483,0375475887643","426,0149460252103","70,59168561939957","461,18597828895037","426,01494602521035","70,59168561939957","59,990556709594884","64,86007544941315","63,143596089432236","60,98241549994677","56,95231097503868","82,29410142841144","105,91874318395989"
