n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,subsample_freq,colsample_bytree,reg_alpha,reg_lambda,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
500,"0,1",63,-1,50,"0,8",1,"1,0","0,0","0,0","64,61672930832651","369,7103701201516","256,45535436836917","64,61672930832651","302,74506466713245","256,4553543683692","64,6167293083265","49,23335268924586","49,92663044115848","60,13873405849923","53,64039139733736","69,80906810991934","77,57576903073186","91,9931594313934"
500,"0,01",127,-1,1,"0,8",1,"1,0","0,0","0,0","64,63968921004023","381,6290465232697","258,82645410821465","64,63968921004023","307,94272711855893","258,8264541082146","64,63968921004023","50,332634109467385","48,92006147201084","59,13561933303475","52,29972704735618","67,42518096577845","78,3351451564922","96,02945638614179"
50,"0,1",15,-1,50,"1,0",1,"1,0","0,0","0,0","64,65510094843864","353,9040961730685","250,69005293535588","64,65510094843864","294,1135350709662","250,6900529353559","64,65510094843863","50,464716641934416","45,70044077426093","57,79334732982841","53,16601183211109","70,07202048616251","77,53700512025836","97,85216445451468"
500,"0,01",63,-1,1,"1,0",1,"1,0","0,0","0,0","64,6759141061036","371,0311869468404","256,33865115106585","64,6759141061036","302,98402043818163","256,33865115106585","64,67591410610362","50,35127821490736","48,338147305243076","58,64851428476922","52,80104440683857","66,98361891347359","78,02420808677465","97,58458753071882"
200,"0,1",63,-1,20,"0,8",1,"1,0","0,0","0,0","64,6860414074786","372,54910752135487","257,85500396198154","64,6860414074786","304,2069370549549","257,8550039619815","64,6860414074786","49,418916122568184","49,91738855435224","60,59872850897476","53,69544858969475","70,09081983552957","78,9892208588101","90,09176738242064"
50,"0,1",15,-1,20,"1,0",1,"1,0","0,0","0,0","64,69155050274031","345,85367251980347","250,1292015296771","64,69155050274031","291,86945320776255","250,12920152967712","64,6915505027403","50,497665090288635","46,5586911160845","57,18084095070574","54,23147990851531","71,25614865127162","79,2544127585304","93,86161504378592"
500,"0,1",127,-1,50,"1,0",1,"1,0","0,0","0,0","64,71349009171294","372,0354812437265","257,1302349736381","64,71349009171294","303,8258626787661","257,1302349736381","64,71349009171294","49,86003960622432","50,045870502796404","60,51916426351516","50,63554785355443","72,43904975093122","79,75002239687693","89,74473626809217"
200,"0,1",127,-1,20,"0,8",1,"1,0","0,0","0,0","64,76140799765757","378,4915405320174","260,38461107758474","64,76140799765757","307,8321790434865","260,38461107758474","64,76140799765757","50,31232130737874","50,201168536194146","60,33149960114607","53,676897337169144","67,36994853537011","79,39463140980469","92,04338925654005"
500,"0,01",127,-1,1,"1,0",1,"1,0","0,0","0,0","64,80020673777385","383,35674923152135","260,1043300145229","64,80020673777385","308,94610025634586","260,1043300145229","64,80020673777385","50,545846742337744","49,72349646551976","59,56670240632823","52,385558348922665","67,29104309491461","78,1892206139471","95,8995794924468"
500,"0,01",127,-1,20,"0,8",1,"1,0","0,0","0,0","64,85503080703435","379,5949981803476","259,93438039063193","64,85503080703435","307,9344011819166","259,9343803906319","64,85503080703435","50,62892230139458","51,03567076301256","61,16167877550994","52,5417920014972","68,09048570298008","79,4820552230484","91,04461088179765"
