n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,subsample_freq,colsample_bytree,reg_alpha,reg_lambda,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
50,"0,01",63,-1,50,"0,8",1,"1,0","0,0","0,0","68,15280179091478","459,9672806009228","399,1308748054098","68,15280179091478","436,4432218073603","399,1308748054098","68,15280179091478","65,87729995873946","61,36653150556738","60,783574698887946","57,945453297501345","54,75358351612846","76,34096313676628","100,00220642281258"
50,"0,01",63,-1,1,"1,0",1,"1,0","0,0","0,0","68,19207096160396","459,8904032704557","399,2933392396186","68,19207096160396","436,3242824405288","399,29333923961855","68,19207096160395","65,64061465131697","61,285483616343235","60,667515885930555","57,81840250831372","54,75853161824875","76,53633949098779","100,6376089600867"
50,"0,01",127,-1,50,"0,8",1,"1,0","0,0","0,0","68,1963201556438","459,8957133076449","399,22546667806444","68,1963201556438","436,44843836476775","399,22546667806444","68,1963201556438","65,95550339417889","61,32207266428388","60,78037471015822","58,03857675148841","54,81737868667176","76,42773125910341","100,03260362362208"
50,"0,01",63,-1,20,"0,8",1,"1,0","0,0","0,0","68,20532042968927","459,86957839142343","399,2276015245722","68,20532042968927","436,3447162628313","399,2276015245722","68,20532042968927","65,67175110554552","61,35869591819207","60,656876430296016","58,011323288866095","54,70628766531895","76,50585978373142","100,52644881587477"
50,"0,01",63,-1,1,"0,8",1,"1,0","0,0","0,0","68,20569890966378","459,7818341405113","399,230559517655","68,20569890966378","436,2616239625508","399,230559517655","68,20569890966378","65,65742447190549","61,24939757551819","60,79287779212863","58,104824255047475","54,65611591025861","76,44169187357963","100,53756048920843"
50,"0,1",15,-1,1,"1,0",1,"1,0","0,0","0,0","68,25025722849347","331,58432804129194","266,41211997405503","68,25025722849347","303,10498280243013","266,412119974055","68,25025722849345","57,28691296346027","59,1092542152961","59,3643321743453","62,172847482839146","72,03694300038137","80,94144517898914","86,84006558414295"
50,"0,01",127,-1,50,"1,0",1,"1,0","0,0","0,0","68,32968364582678","461,37392288454805","400,65986813294455","68,32968364582678","437,872055386362","400,6598681329445","68,32968364582679","65,9529573106284","61,30794652504943","60,85020510229761","58,398968901926835","54,812876079368394","76,45739375091446","100,52743785060235"
50,"0,01",63,-1,20,"1,0",1,"1,0","0,0","0,0","68,36726546772448","461,05993686444214","400,7220199104954","68,36726546772448","437,7090236254365","400,7220199104955","68,36726546772448","66,02020736564944","61,39865316832156","60,76372178718441","58,09652041316575","54,86073829666992","76,7067481104184","100,72426913266187"
50,"0,01",127,-1,20,"1,0",1,"1,0","0,0","0,0","68,37415897530387","461,00533252185994","400,80610696006806","68,37415897530387","437,8932111235923","400,80610696006806","68,37415897530389","66,06858143480073","61,38119569732322","61,07073422985777","58,00878856911753","55,00724514441575","76,40961644938486","100,67295130222728"
50,"0,01",127,-1,20,"0,8",1,"1,0","0,0","0,0","68,69680759255283","466,35155536460786","405,5468262358838","68,69680759255283","442,66836720091715","405,54682623588377","68,69680759255284","66,51653335562953","61,764259579261605","61,26313887149863","58,38627610627695","55,09206978336531","76,78956079331407","101,06581465852372"
50,"0,1",15,-1,20,"1,0",1,"1,0","0,0","0,0","68,72145114979882","343,6398992376607","274,28271921945276","68,72145114979882","313,3412544423044","274,28271921945276","68,72145114979882","56,30912422723371","59,881613967966196","63,0684613264664","61,95291880006977","71,72596437540535","81,01293777073752","87,09913758071282"
500,"0,01",15,-1,1,"0,8",1,"1,0","0,0","0,0","68,77891226933775","340,6143409111796","273,7647377479393","68,77891226933775","310,7666141352277","273,7647377479393","68,77891226933774","55,419686239671094","59,974997987378245","62,8511327138416","62,94431462879325","72,87080519912159","81,16462618335059","86,22682293320784"
50,"0,01",127,-1,1,"1,0",1,"1,0","0,0","0,0","68,78383089853165","466,652737901113","406,01240110195124","68,78383089853165","443,208542587411","406,0124011019512","68,78383089853165","66,41448320441295","61,493429545608514","61,75943585929092","58,49202914844081","55,28796370496738","76,91992144345319","101,11955338354775"
