n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,subsample_freq,colsample_bytree,reg_alpha,reg_lambda,train_window,val_start,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
500,"0,1",63,-1,50,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"71,50504707926785","311,4404139194196","265,55087323880906","71,50504707926785","300,8935689728965","265,55087323880906","71,50504707926784","63,78229832620015","50,44703545590823","51,53886419708985","65,93782018623023","79,71773590369006","76,73357815775749","112,37799732799897"
500,"0,1",127,-1,1,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"71,8165317313745","314,3034111117047","267,51877391219807","71,8165317313745","303,6567556280757","267,5187739121981","71,8165317313745","64,72838621816072","51,04459604268872","51,71089169381108","66,12547001157472","78,27867546748483","79,05370012898987","111,77400255691154"
200,"0,1",127,-1,20,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"71,92326909350597","313,37239939727965","267,5248163728774","71,92326909350597","303,3579857610654","267,5248163728774","71,92326909350597","65,14407976614062","51,21485615798239","50,845710154563264","64,35111690202231","78,28896859288605","79,27307235895506","114,34507972199211"
200,"0,1",127,-1,1,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"72,14974559451157","315,3404642558479","268,2579050869556","72,14974559451157","304,6595870312767","268,2579050869556","72,14974559451156","65,18793212347346","50,78755394641188","51,671894427206176","66,1661540246727","78,4702229535667","79,49363370377615","113,2708279824738"
500,"0,1",127,-1,1,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"72,26976272773385","312,22630643875533","266,7865317335695","72,26976272773385","302,09109604898885","266,78653173356946","72,26976272773386","64,67286058833167","51,79021394881174","51,43479925036735","64,31616482946058","78,15587116709665","79,28630286872252","116,23212644134645"
200,"0,1",63,-1,50,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"72,57203833905436","315,37625361333914","268,8349665787795","72,57203833905436","304,7131076639859","268,8349665787795","72,57203833905434","64,88835669726552","50,76473517810609","51,74373953142134","66,33285512925346","79,99321397714549","77,94756856761293","116,33379929257559"
200,"0,1",127,-1,1,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"72,60828606937852","313,3053821580207","267,6990472290105","72,60828606937852","303,1359814366647","267,6990472290105","72,60828606937852","65,36323687887437","52,031852806850296","51,335849001374854","64,25926394086221","79,0724445849734","79,26583116389861","116,92952410881593"
200,"0,1",127,-1,50,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"72,97295280412591","315,1295767594369","268,98044202925473","72,97295280412591","304,7354392546061","268,9804420292548","72,97295280412591","66,090552664511","52,52349026425998","50,93588119952258","65,95886562193905","78,93844711352182","79,9190638616346","116,44436890349232"
50,"0,01",15,-1,50,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"73,08966430240056","508,3735829859337","453,69690849191727","73,08966430240056","488,10026854680655","453,6969084919173","73,08966430240055","70,62180540380504","67,91542782975772","65,06722847564625","62,229267086715154","57,419623591627904","82,39428498251","105,98001274674183"
50,"0,01",15,-1,20,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"73,13803148582396","508,965003263654","454,3044089557627","73,13803148582396","488,6896122565621","454,30440895576277","73,13803148582396","70,6927635018408","67,96202569947218","65,11024077512053","62,27443807984783","57,468262573456855","82,44018883280388","106,01830093822568"
50,"0,01",15,-1,1,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"73,13803148582396","508,965003263654","454,3044089557627","73,13803148582396","488,6896122565621","454,30440895576277","73,13803148582396","70,6927635018408","67,96202569947218","65,11024077512053","62,27443807984783","57,468262573456855","82,44018883280388","106,01830093822568"
50,"0,01",15,-1,50,"1,0",1,"1,0","0,0","0,0",3 years,2024-01-01,"73,14650900020432","509,0629644086831","454,4077424834396","73,14650900020432","488,789962868368","454,4077424834396","73,14650900020432","70,70059432354331","67,97099513983758","65,11852005551079","62,28313291083033","57,47762502910852","82,44902470286694","106,02567083973274"
50,"0,01",15,-1,1,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"73,14928880760141","509,0606202349998","454,42241507915895","73,14928880760141","488,804903971808","454,4224150791589","73,14928880760142","70,675122745583","67,97881856659012","65,12574150636542","62,290716826400256","57,4857912902732","82,45673163036533","106,03209908763262"
50,"0,01",15,-1,20,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"73,14928880760141","509,0606202349998","454,42241507915895","73,14928880760141","488,804903971808","454,4224150791589","73,14928880760142","70,675122745583","67,97881856659012","65,12574150636542","62,290716826400256","57,4857912902732","82,45673163036533","106,03209908763262"
50,"0,1",127,-1,1,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"73,17450831677132","317,39996796033716","270,2366980181571","73,17450831677132","306,68699379625116","270,23669801815714","73,17450831677131","66,68750414117564","51,845337863533985","51,108238036807876","65,34478418669075","80,30983049652933","80,0197893234127","116,90607416924897"
500,"0,1",127,-1,20,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"73,24423524166707","316,1338123878561","270,0144996891128","73,24423524166707","305,9753983737402","270,0144996891128","73,24423524166706","65,63634657823053","51,5667954914846","51,06927374813998","65,172272767441","79,60598293840859","80,77836115148337","118,88061401648137"
200,"0,1",127,-1,50,"0,8",1,"1,0","0,0","0,0",3 years,2024-01-01,"73,3541606229866","315,83321844747144","270,160823674992","73,3541606229866","305,4403468725883","270,160823674992","73,3541606229866","66,15605413940932","52,28390284866651","51,16596243994438","68,5369208062636","80,95270050002694","79,045395439488","115,33818818710748"
