hidden_size,layers,learning_rate,epochs,batch_size,price_zone,train_window,val_start,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
32,2,"0,001",30,32,DK1,3 years,2024-01-01,"56,87736379709273","342,46764239817134","275,1641445527745","56,87736379709273","319,49834969943953","275,1641445527744","56,87736379709272","51,48454103319938","46,74047369958376","48,906983696293864","47,34243003681824","42,63072165780781","67,3985771014568","93,63781935448921"
64,2,"0,001",30,32,DK1,3 years,2024-01-01,"57,04482585147257","285,7598487622654","226,73256235107667","57,04482585147257","272,8177790074966","226,73256235107667","57,04482585147256","66,2827053448858","49,341945636500995","51,092087703478136","46,704781148659954","41,13084206418742","61,66178900981612","83,09963005277949"
64,2,"0,001",30,64,DK1,3 years,2024-01-01,"58,076724251324606","352,2733857594232","290,20413417962936","58,076724251324606","331,5451144085291","290,2041341796294","58,07672425132461","57,01140616085837","52,403257716344854","51,45309447861722","47,38456145304486","41,22325719342315","65,35090445822755","91,71058829875626"
64,1,"0,001",30,64,DK1,3 years,2024-01-01,"58,11603853556069","352,63877442843017","290,5883477176775","58,11603853556069","331,89447478941554","290,5883477176775","58,1160385355607","57,045957035263065","52,443974541716344","51,4858490972312","47,42076383014237","41,26209182857194","65,39956117356056","91,75407224243942"
16,1,"0,001",60,64,DK1,3 years,2024-01-01,"58,17059479895349","295,86409652511645","241,12045802058776","58,17059479895349","284,14247904393847","241,1204580205877","58,170594798953495","55,65324451405307","51,89503146205315","55,54801685383261","53,9986949917597","47,73401193179677","60,565596809919555","81,79956702925958"
16,2,"0,001",60,64,DK1,3 years,2024-01-01,"58,19773157424339","295,9471691558183","241,20884063962734","58,19773157424339","284,2218074440656","241,20884063962737","58,19773157424339","55,67582988078502","51,91952129809981","55,57737149998421","54,03176124415255","47,769934543642435","60,59490004425207","81,8148025087877"
16,1,"0,0005",60,32,DK1,3 years,2024-01-01,"58,20906091771411","295,98183138269826","241,24575588513764","58,20906091771411","284,2549084378479","241,24575588513764","58,209060917714105","55,685351801601556","51,929717094701715","55,589593350985915","54,04552862958103","47,78489189768184","60,607198252593804","81,8211453968529"
16,1,"0,001",30,32,DK1,3 years,2024-01-01,"58,49757993600433","296,872030234258","242,18584227242604","58,49757993600433","285,10516076007826","242,18584227242607","58,49757993600432","55,929272892456986","52,187155697637664","55,901566759034964","54,39334193445927","48,16521655274681","60,92154173121948","81,9849639844751"
16,2,"0,001",30,32,DK1,3 years,2024-01-01,"58,51870882970546","296,9377144562131","242,25469601427784","58,51870882970546","285,1679060677208","242,25469601427787","58,51870882970546","55,94701502321581","52,20582866271473","55,9245183437853","54,41858470708163","48,19310678737613","60,944408765287584","81,99749951847701"
64,2,"0,0005",30,32,DK1,3 years,2024-01-01,"59,00752517401757","360,9745441125615","299,34761448059083","59,00752517401757","339,90337914380996","299,3476144805908","59,00752517401758","57,83246760867002","53,36657482843752","52,2169007926351","48,2441109758257","42,14730317740349","66,50477131329887","92,74054752185233"
32,1,"0,0005",60,64,DK1,3 years,2024-01-01,"59,10108462164811","298,74957517602684","244,1578864104142","59,10108462164811","286,89877494155274","244,1578864104142","59,101084621648106","56,43640683518302","52,71792656139802","56,560719104133966","55,10053445579362","48,9766659074845","61,56315394439159","82,35218554315202"
32,2,"0,0005",60,64,DK1,3 years,2024-01-01,"59,2227153202912","299,1290512154659","244,55618829566592","59,2227153202912","287,26124041549235","244,5561882956659","59,222715320291194","56,54005699133218","52,82571290156399","56,69061049292844","55,24084793319157","49,140918237656834","61,69239609106998","82,42846459429542"
32,1,"0,0005",30,32,DK1,3 years,2024-01-01,"59,44329473904166","299,8236301753045","245,27771989113796","59,44329473904166","287,9245738959899","245,277719891138","59,44329473904166","56,72914450040993","53,01999064348732","56,92637811941431","55,49387903349104","49,44215239675783","61,92553319168766","82,56598528804349"
32,2,"0,0005",30,32,DK1,3 years,2024-01-01,"59,571248968852686","300,2296849823387","245,695899834586","59,571248968852686","288,312279359597","245,695899834586","59,57124896885268","56,84172443637051","53,13185028433962","57,06305902321912","55,63964094432644","49,616466767182324","62,059876547336685","82,64612477919411"
32,1,"0,001",30,64,DK1,3 years,2024-01-01,"59,66460041624802","300,5274982180926","246,00077781870232","59,66460041624802","288,5965889195751","246,00077781870232","59,66460041624803","56,924246614137495","53,213123253986495","57,16349509144702","55,74564645274981","49,743202917584796","62,15753584785689","82,70495273597368"
64,2,"0,0005",60,64,DK1,3 years,2024-01-01,"59,80733981256256","368,59783336417524","307,3038282478376","59,80733981256256","347,2858897087959","307,30382824783766","59,807339812562546","58,54672331207932","54,201051404573136","52,864162539071756","49,0044473489838","42,95452889920192","67,48609075612819","93,59437442789974"
32,2,"0,001",30,64,DK1,3 years,2024-01-01,"59,822883694230036","301,0338054387895","246,51763343388512","59,822883694230036","289,07983893270887","246,5176334338851","59,82288369423005","57,06309490306114","53,35049693570071","57,334983356527395","55,92609125259156","49,95853155420081","62,32267983861132","82,80430801891737"
64,2,"0,001",60,32,DK1,3 years,2024-01-01,"60,00191244047027","314,7659548923366","252,46796607313567","60,00191244047027","296,639406119121","252,4679660731356","60,00191244047028","64,9136158165984","53,044775865226214","51,89662722816735","45,6066355734491","49,384019831961346","64,97955795030654","90,18815481758294"
64,1,"0,0005",30,64,DK1,3 years,2024-01-01,"60,221634980442346","302,3145070557011","247,8193392378758","60,221634980442346","290,30157998126595","247,8193392378758","60,221634980442346","57,409560784980144","53,70152086525743","57,76918878001504","56,37566381894523","50,49971454721947","62,73744920066863","83,05834686601048"
64,2,"0,0005",30,64,DK1,3 years,2024-01-01,"60,26671669152823","302,4604626534505","247,9663096348259","60,26671669152823","290,44075235005016","247,9663096348259","60,26671669152823","57,44925857369341","53,741222916433486","57,81800096605117","56,42635715940543","50,56084332570029","62,78432408281034","83,08700981660346"
32,2,"0,0005",60,32,DK1,3 years,2024-01-01,"60,56036779073118","375,7887012108861","314,8532580065191","60,56036779073118","354,2939639781889","314,8532580065192","60,56036779073117","59,24394915737403","54,979902293972216","53,47580562304782","49,73006668621052","43,72373806411939","68,40232179366117","94,3667909167331"
16,2,"0,001",60,32,DK1,3 years,2024-01-01,"68,48130872039394","361,0506752885683","293,65968004245167","68,48130872039394","339,36578201683335","293,6596800424517","68,48130872039395","69,45288592182183","58,56902796147822","60,570868366438","60,83497475687889","53,61069387023606","73,59530072604049","102,73540943986416"
