"Name","State","Created","combination","batch_size","dropout","hidden_size","layers","learning_rate","sequence_length","best_epoch","best_val_SMAPE","Runtime","epoch","patience_counter","User","Sweep","Notes","Tags","num_combinations","patience","predict_period","price_zone","split_setup","stride","train_window","val_start","val_window","epochs_trained","max_epochs","val_SMAPE"
"DK1_rnn_hyperparameter_search_comb_045","finished","2026-04-25T22:26:57.000Z","45","64","0","32","1","0.0005","24","59","75.05574239677415","958","60","1","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","76.01918082841738"
"DK1_rnn_hyperparameter_search_comb_043","finished","2026-04-25T22:06:20.000Z","43","32","0","32","1","0.0005","168","43","65.41093806492049","1235","51","8","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","51","60","70.55329408851989"
"DK1_rnn_hyperparameter_search_comb_041","finished","2026-04-25T21:52:21.000Z","41","32","0","32","1","0.0005","24","42","64.54920474293544","837","50","8","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","50","60","68.28103702284851"
"DK1_rnn_hyperparameter_search_comb_039","finished","2026-04-25T21:36:07.000Z","39","64","0","32","1","0.001","168","38","69.22629027629768","969","46","8","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","46","60","72.5824240744614"
"DK1_rnn_hyperparameter_search_comb_037","finished","2026-04-25T21:24:30.000Z","37","64","0","32","1","0.001","24","35","67.35425547726393","696","43","8","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","43","60","73.13373273342529"
"DK1_rnn_hyperparameter_search_comb_035","finished","2026-04-25T21:11:07.000Z","35","32","0","32","1","0.001","168","25","64.69902339371706","801","33","8","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","33","60","65.13407015908365"
"DK1_rnn_hyperparameter_search_comb_033","finished","2026-04-25T20:59:30.000Z","33","32","0","32","1","0.001","24","33","67.05648528965453","696","41","8","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","41","60","67.99352831869875"
"DK1_rnn_hyperparameter_search_comb_032","finished","2026-04-25T20:34:34.000Z","32","64","0.2","16","2","0.0005","168","60","100.53971106874292","1495","60","0","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","100.53971106874292"
"DK1_rnn_hyperparameter_search_comb_031","finished","2026-04-25T20:09:54.000Z","31","64","0","16","2","0.0005","168","60","99.77116940543806","1479","60","0","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","99.77116940543806"
"DK1_rnn_hyperparameter_search_comb_030","finished","2026-04-25T19:53:02.000Z","30","64","0.2","16","2","0.0005","24","60","99.87449596981295","1011","60","0","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","99.87449596981295"
"DK1_rnn_hyperparameter_search_comb_029","finished","2026-04-25T19:36:35.000Z","29","64","0","16","2","0.0005","24","60","98.9308963455078","986","60","0","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","98.9308963455078"
"DK1_rnn_hyperparameter_search_comb_028","finished","2026-04-25T19:09:06.000Z","28","32","0.2","16","2","0.0005","168","46","83.68767483055387","1648","54","8","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","54","60","83.99067693802269"
"DK1_rnn_hyperparameter_search_comb_027","finished","2026-04-25T18:39:05.000Z","27","32","0","16","2","0.0005","168","60","77.1658928294881","1799","60","0","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","77.1658928294881"
"DK1_rnn_hyperparameter_search_comb_026","finished","2026-04-25T18:21:30.000Z","26","32","0.2","16","2","0.0005","24","60","70.58272213284026","1053","60","0","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","70.58272213284026"
"DK1_rnn_hyperparameter_search_comb_025","finished","2026-04-25T18:04:02.000Z","25","32","0","16","2","0.0005","24","55","72.75648870699222","1047","60","5","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","74.71679206414078"
"DK1_rnn_hyperparameter_search_comb_024","finished","2026-04-25T17:39:10.000Z","24","64","0.2","16","2","0.001","168","56","70.93078589135511","1491","60","4","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","72.16564434617172"
"DK1_rnn_hyperparameter_search_comb_023","finished","2026-04-25T17:15:07.000Z","23","64","0","16","2","0.001","168","60","72.30031385728327","1441","60","0","","","-","cross-validation, early-stopping, hyperparameter-search, rnn","64","8","168","DK1","2","2184","17520","2024-01-01 00:00:00","8784","60","60","72.30031385728327"
