max_depth,learning_rate,n_estimators,subsample,colsample_bytree,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
3,"0,05",400,"0,7","1,0","63,13286592035848","367,65213702315293","261,3671647013878","63,13286592035848","303,31669268195645","261,3671647013878","63,13286592035848","49,55225497868241","47,59386506270012","61,949274602597995","54,480903409831384","69,90038217856535","78,73563243545132","79,71774877468079"
7,"0,05",600,"1,0","1,0","63,15213131586699","377,5250561578314","260,4522377732866","63,15213131586699","306,35707115081175","260,4522377732865","63,152131315866995","47,69764036167683","45,9063522469243","63,38049003349688","55,59991408746951","69,22890368688573","75,15844525556082","85,09317353905485"
7,"0,1",600,"0,7","0,7","63,15357867969937","376,968892140319","258,65949368355024","63,15357867969937","304,8136463432996","258,65949368355024","63,15357867969937","46,613064511984746","47,909257285095435","62,3015299244208","53,70046229292174","72,87457825981822","74,61886743281757","84,05729105083711"
7,"0,1",400,"0,9","0,7","63,17462971746569","376,54939514469163","258,9307971099762","63,17462971746569","303,6129855258259","258,9307971099762","63,17462971746569","46,44363439754778","47,04474797222678","61,3126797972497","54,14843267578934","72,32919771102914","78,37881742452741","82,56489804388971"
7,"0,05",200,"1,0","1,0","63,178560575508754","374,5004875645859","260,254769184484","63,178560575508754","305,5373879671219","260,25476918448396","63,17856057550875","48,047522982880665","46,257931265954554","62,44322655621517","55,60941311548327","69,81293337180769","75,92529644811567","84,15360028810424"
3,"0,2",600,"1,0","0,7","63,18479151627491","383,32654475169227","259,7693795669526","63,18479151627491","307,49374340385305","259,7693795669526","63,18479151627492","46,59823055933826","45,98175114187704","61,57344111514084","54,091409355929","75,9933963377159","77,0544056487777","81,00090645514572"
7,"0,05",200,"0,7","1,0","63,18901790856952","374,76511383000286","260,4263712941914","63,18901790856952","305,954770523721","260,4263712941914","63,18901790856952","48,10351133270757","45,96100783781249","62,54975390183737","54,841556103211076","71,30219667540084","77,46697401374267","82,09812549527462"
7,"0,05",400,"1,0","1,0","63,192306592183165","375,6490833998801","259,97443271256554","63,192306592183165","305,46029791568907","259,97443271256554","63,19230659218316","47,43977395161885","46,20073374994661","62,76307280582655","55,73971001442892","69,55952689202516","75,79138840978607","84,85194032164996"
7,"0,2",200,"0,9","1,0","63,19973035764103","382,11247010249315","261,1219085426907","63,19973035764103","307,70179023332486","261,1219085426907","63,19973035764104","47,4088706465008","46,54782460293569","62,38121481768952","52,4635519013265","71,65326593335888","77,25205687732372","84,6913277243521"
5,"0,1",200,"0,7","0,7","63,23391625164601","380,8236129412091","261,62887648745686","63,23391625164601","306,8510859084855","261,6288764874568","63,233916251646015","46,44584694881129","47,220826089308375","62,23674457555854","56,17360594616274","72,93751897984595","78,18711850200405","79,43575271983113"
5,"0,2",400,"1,0","0,7","63,23499313118559","386,21820242638364","259,8989334466489","63,23499313118559","307,81816480395213","259,898933446649","63,23499313118559","44,94230296842052","46,51933215424668","61,58756130208387","54,11986456655858","72,900619068841","79,84817985731","82,72709200083847"
7,"0,1",400,"1,0","1,0","63,237637717051285","376,52032384379334","260,21535707987516","63,237637717051285","306,1396186379956","260,21535707987516","63,23763771705128","48,35861312908443","45,97981213878013","63,03665690202763","54,80457108144351","70,62941454009581","76,00680497241608","83,84759125551135"
3,"0,05",200,"0,7","1,0","63,2677350537911","341,4547467658581","254,82593162669679","63,2677350537911","292,5788345496868","254,82593162669679","63,26773505379109","50,66997375778643","48,27282707252389","60,13550115574976","55,24736692532767","68,7372319805632","78,02705623226552","81,78418825232123"
7,"0,1",200,"1,0","1,0","63,27031858179659","376,833944488538","261,10521868975184","63,27031858179659","306,666547995936","261,10521868975184","63,27031858179659","48,95651584181233","45,97167429973366","62,829352715194545","54,92554560591938","70,56391248030647","76,50278268940026","83,14244644020948"
5,"0,1",200,"0,9","0,7","63,28712459940974","374,64519558248026","259,36510135956615","63,28712459940974","304,4055526149867","259,36510135956615","63,287124599409744","47,07107621267961","47,073617277653426","60,71504798299758","55,65553727745258","73,33373515630475","78,69746521356475","80,46339307521546"
5,"0,2",400,"0,7","0,7","63,301170223249386","393,6721438560478","263,6078434989266","63,301170223249386","313,72119457412145","263,60784349892657","63,30117022324938","46,2373951889948","47,785716014882226","61,451035030221576","53,593636099342234","73,86604268727983","78,56359683791149","81,61076970411352"
3,"0,05",200,"0,9","1,0","63,31130494903977","336,3077011198981","252,6556489640471","63,31130494903977","290,09384601966013","252,6556489640471","63,31130494903976","50,406645674328644","48,66916007848793","59,86975204329384","55,81574732468792","69,44710968816","77,17411394496963","81,79660588935042"
7,"0,2",400,"1,0","1,0","63,32417342467899","375,2784683962335","259,76010710060586","63,32417342467899","306,15145079912","259,7601071006058","63,32417342467899","47,42634458606733","47,673334080530424","62,40166964970438","56,11427760805962","71,99220058284307","72,8768283872568","84,78455907829132"
3,"0,05",200,"0,9","0,7","63,326431215161016","368,82713041093564","260,9716881611561","63,326431215161016","304,1460996207231","260,9716881611561","63,32643121516101","49,71844358744198","46,67396420748563","61,28424193019841","56,353341591391114","70,67047344098967","77,80694650262255","80,77760724599776"
7,"0,1",400,"0,7","0,7","63,33192688882648","377,1991977222218","258,82714666176616","63,33192688882648","304,7860428336636","258,8271466617661","63,33192688882649","46,32990369326636","48,079211201180065","62,23049558281467","53,76827773310916","73,41179544809961","75,77533721967339","83,72846734364214"
7,"0,2",600,"1,0","1,0","63,35957112365291","373,8005415423562","259,1419929703867","63,35957112365291","305,24203116725675","259,1419929703867","63,35957112365291","47,38192082472111","47,74814214160527","62,43473579503208","56,27819723649844","72,15001054264417","73,33487013278949","84,18912119227984"
5,"0,1",400,"0,7","0,7","63,368203108049315","384,673433471747","261,81542701462877","63,368203108049315","308,2713088413644","261,81542701462877","63,368203108049315","45,97523595113827","46,99960161909392","62,18975993565619","55,670278367761085","75,025662589511","78,4521652691611","79,26471802402364"
7,"0,2",400,"0,7","0,7","63,37198522320855","377,6312230684275","258,58272274201397","63,37198522320855","306,1653052106284","258,58272274201397","63,37198522320855","47,56758854429562","48,649802483210244","60,639737481377296","54,24422034968934","72,73421086978","76,62491587314092","83,14342096096641"
7,"0,1",600,"0,9","0,7","63,3806908885784","377,21520067935626","259,1790207815902","63,3806908885784","303,9734803293472","259,17902078159017","63,38069088857839","46,35210566998377","47,353477426756015","62,10280879519496","54,48676254613767","72,28060847953354","78,23691989790845","82,85215340453433"
7,"0,1",600,"1,0","0,7","63,415543884657836","383,94080269119314","260,44709727819964","63,415543884657836","307,6471459735311","260,4470972781996","63,415543884657836","46,998416321259135","47,63286981127883","62,53005240851465","53,91946215185942","71,81577509119906","78,79597169874603","82,21625970974775"
7,"0,1",400,"1,0","0,7","63,42903218983272","383,89580539555357","260,4490710616621","63,42903218983272","307,3747218005234","260,44907106166204","63,42903218983271","46,758744355424206","47,71433710135173","62,42845775678102","53,48098188252683","72,0036216859079","78,80279421600805","82,81428833082927"
