max_depth,learning_rate,subsample,colsample_bytree,avg_smape
9,"0,01","0,8","1,0","55,73601673711454"
9,"0,01","1,0","1,0","55,819258452500414"
9,"0,01","1,0","0,8","55,93780005341261"
9,"0,01","0,8","0,8","55,945884728271"
6,"0,01","1,0","1,0","56,199819742718766"
6,"0,01","0,8","1,0","56,214025879428156"
6,"0,01","0,8","0,8","56,249812498531256"
6,"0,01","1,0","0,8","56,35229661687045"
9,"0,2","0,8","0,8","56,6308968288777"
6,"0,1","1,0","1,0","57,00330265719805"
9,"0,1","0,8","0,8","57,10710719190111"
9,"0,1","1,0","0,8","57,1244958491152"
6,"0,2","1,0","0,8","57,426427137313496"
6,"0,2","0,8","1,0","57,58633173686823"
6,"0,1","0,8","1,0","57,69246876450717"
3,"0,1","0,8","1,0","57,710439557691316"
6,"0,1","1,0","0,8","57,875148028120165"
3,"0,01","0,8","0,8","58,02589336123143"
3,"0,01","1,0","0,8","58,1239616627462"
9,"0,2","1,0","0,8","58,19400322812159"
3,"0,1","1,0","1,0","58,23089728908037"
3,"0,1","1,0","0,8","58,24161140042902"
9,"0,1","0,8","1,0","58,264400029413885"
6,"0,1","0,8","0,8","58,29954129755679"
6,"0,2","1,0","1,0","58,33176685784474"
9,"0,2","1,0","1,0","58,38993041981698"
3,"0,01","1,0","1,0","58,4088328690915"
3,"0,01","0,8","1,0","58,52292670191141"
9,"0,1","1,0","1,0","58,58599007935937"
9,"0,2","0,8","1,0","58,9482370366194"
6,"0,2","0,8","0,8","58,95817755987704"
3,"0,2","1,0","1,0","59,57516144620858"
3,"0,2","0,8","1,0","59,61486842745422"
3,"0,1","0,8","0,8","59,86825450084445"
3,"0,2","0,8","0,8","61,29832443024381"
3,"0,2","1,0","0,8","61,426483444695826"
